Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","64","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","22.56","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","85.67","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","88878.33","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","10.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","10652.95","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","4.92","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","5101.77","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","275","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","275","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","275","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","6.13","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","23.14","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","379215.83","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","2.77","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","45344.95","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","1.34","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","012","Algérie","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","21955.93","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1507","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","789","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","170","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","664","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","1462","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5131","Traitement","S2734","Viande de Volailles","2022","2022","1000 t","86","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","1376","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","16.51","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","60.85","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","1851616.07","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","7.69","E","Valeur estimée",""
